,filename,learning_rate,momentum,reg
0,data/results/covar_est_lr1_momentum0.8_reg0.bin,1,0.8,0.0
1,data/results/covar_est_lr1_momentum0.9_reg0.bin,1,0.9,0.0
2,data/results/covar_est_lr1_momentum0.95_reg0.bin,1,0.95,0.0
3,data/results/covar_est_lr10_momentum0.8_reg0.bin,10,0.8,0.0
4,data/results/covar_est_lr10_momentum0.9_reg0.bin,10,0.9,0.0
5,data/results/covar_est_lr10_momentum0.95_reg0.bin,10,0.95,0.0
6,data/results/covar_est_lr100_momentum0.8_reg0.bin,100,0.8,0.0
7,data/results/covar_est_lr100_momentum0.9_reg0.bin,100,0.9,0.0
8,data/results/covar_est_lr100_momentum0.95_reg0.bin,100,0.95,0.0
9,data/results/covar_est_lr200_momentum0.8_reg0.bin,200,0.8,0.0
10,data/results/covar_est_lr200_momentum0.9_reg0.bin,200,0.9,0.0
11,data/results/covar_est_lr200_momentum0.95_reg0.bin,200,0.95,0.0
12,data/results/covar_est_lr1000_momentum0.8_reg0.bin,1000,0.8,0.0
13,data/results/covar_est_lr1000_momentum0.9_reg0.bin,1000,0.9,0.0
14,data/results/covar_est_lr1000_momentum0.95_reg0.bin,1000,0.95,0.0
15,data/results/covar_est_lr10_momentum0.9_reg0.0001.bin,10,0.9,0.0001
16,data/results/covar_est_lr10_momentum0.9_reg0.001.bin,10,0.9,0.001
17,data/results/covar_est_lr10_momentum0.9_reg0.01.bin,10,0.9,0.01
18,data/results/covar_est_lr10_momentum0.9_reg0.1.bin,10,0.9,0.1
19,data/results/covar_est_lr10_momentum0.9_reg1e-05.bin,10,0.9,1e-05
